Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
18392,294.6224,superior-izquierda,No,0,full,No,,,,,Sí
18393,294.6432,superior-izquierda,No,0,full,No,,,,,Sí
18394,294.6653,superior-izquierda,No,0,full,No,,,,,Sí
18395,294.6908,superior-izquierda,No,0,full,No,,,,,Sí
18396,294.7176,superior-izquierda,No,0,full,No,,,,,Sí
18397,294.7391,superior-izquierda,No,0,full,No,,,,,Sí
18398,294.7566,superior-izquierda,No,0,full,No,,,,,Sí
18399,294.7748,superior-izquierda,No,0,full,No,,,,,Sí
18400,294.7971,superior-izquierda,No,0,full,No,,,,,Sí
18401,294.8186,superior-izquierda,No,0,full,No,,,,,Sí
18402,294.8412,superior-izquierda,No,0,full,No,,,,,Sí
18403,294.8691,superior-izquierda,No,0,full,No,,,,,Sí
18404,294.8968,superior-izquierda,No,0,full,No,,,,,Sí
18405,294.9194,superior-izquierda,No,0,full,No,,,,,Sí
18406,294.9386,superior-izquierda,No,0,full,No,,,,,Sí
18407,294.9567,superior-izquierda,No,0,full,No,,,,,Sí
18408,294.979,superior-izquierda,No,0,full,No,,,,,Sí
18409,294.9956,superior-izquierda,No,0,full,No,,,,,Sí
18410,295.0124,superior-izquierda,No,0,full,No,,,,,Sí
18411,295.0299,superior-izquierda,No,0,full,No,,,,,Sí
18412,295.0466,superior-izquierda,No,0,full,No,,,,,Sí
18413,295.0639,superior-izquierda,No,0,full,No,,,,,Sí
18414,295.0807,superior-izquierda,No,0,full,No,,,,,Sí
18415,295.0977,superior-izquierda,No,0,full,No,,,,,Sí
18416,295.1147,superior-izquierda,No,0,full,No,,,,,Sí
18417,295.1325,superior-izquierda,No,0,full,No,,,,,Sí
18418,295.1504,superior-izquierda,No,0,full,No,,,,,Sí
18419,295.168,superior-izquierda,No,0,full,No,,,,,Sí
18420,295.1857,superior-izquierda,No,0,full,No,,,,,Sí
18421,295.2045,superior-izquierda,No,0,full,No,,,,,Sí
18422,295.2223,superior-izquierda,No,0,full,No,,,,,Sí
18423,295.2392,superior-izquierda,No,0,full,No,,,,,Sí
18424,295.2554,superior-izquierda,No,0,full,No,,,,,Sí
18425,295.2718,superior-izquierda,No,0,full,No,,,,,Sí
18426,295.2887,superior-izquierda,No,0,full,No,,,,,Sí
18427,295.3085,superior-izquierda,No,0,full,No,,,,,Sí
18428,295.3312,superior-izquierda,No,0,full,No,,,,,Sí
18429,295.3494,superior-izquierda,No,0,full,No,,,,,Sí
18430,295.3672,superior-izquierda,No,0,full,No,,,,,Sí
18431,295.3861,superior-izquierda,No,0,full,No,,,,,Sí
18432,295.4034,superior-izquierda,No,0,full,No,,,,,Sí
18433,295.4212,superior-izquierda,No,0,full,No,,,,,Sí
18434,295.4377,superior-izquierda,No,0,full,No,,,,,Sí
18435,295.4548,superior-izquierda,No,0,full,No,,,,,Sí
18436,295.4715,superior-izquierda,No,0,full,No,,,,,Sí
18437,295.4925,superior-izquierda,No,0,full,No,,,,,Sí
18438,295.5143,superior-izquierda,No,0,full,No,,,,,Sí
18439,295.5314,superior-izquierda,No,0,full,No,,,,,Sí
18440,295.5476,superior-izquierda,No,0,full,No,,,,,Sí
18441,295.5643,superior-izquierda,No,0,full,No,,,,,Sí
18442,295.5812,superior-izquierda,No,0,full,No,,,,,Sí
18443,295.5975,superior-izquierda,No,0,full,No,,,,,Sí
18444,295.6141,superior-izquierda,No,0,full,No,,,,,Sí
18445,295.6303,superior-izquierda,No,0,full,No,,,,,Sí
