Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
3162,197.6458,superior-izquierda,No,0,full,No,,,,,Sí
3163,197.6623,superior-izquierda,No,0,full,No,,,,,Sí
3164,197.682,superior-izquierda,No,0,full,No,,,,,Sí
3165,197.7034,superior-izquierda,No,0,full,No,,,,,Sí
3166,197.7219,superior-izquierda,No,0,full,No,,,,,Sí
3167,197.7395,superior-izquierda,No,0,full,No,,,,,Sí
3168,197.7572,superior-izquierda,No,0,full,No,,,,,Sí
3169,197.7742,superior-izquierda,No,0,full,No,,,,,Sí
3170,197.7907,superior-izquierda,No,0,full,No,,,,,Sí
3171,197.8094,superior-izquierda,No,0,full,No,,,,,Sí
3172,197.8268,superior-izquierda,No,0,full,No,,,,,Sí
3173,197.8451,superior-izquierda,No,0,full,No,,,,,Sí
3174,197.8636,superior-izquierda,No,0,full,No,,,,,Sí
3175,197.8819,superior-izquierda,No,0,full,No,,,,,Sí
3176,197.9016,superior-izquierda,No,0,full,No,,,,,Sí
3177,197.9188,superior-izquierda,No,0,full,No,,,,,Sí
3178,197.9356,superior-izquierda,No,0,full,No,,,,,Sí
3179,197.9519,superior-izquierda,No,0,full,No,,,,,Sí
3180,197.9719,superior-izquierda,No,0,full,No,,,,,Sí
3181,197.9891,superior-izquierda,No,0,full,No,,,,,Sí
3182,198.0071,superior-izquierda,No,0,full,No,,,,,Sí
3183,198.0248,superior-izquierda,No,0,full,No,,,,,Sí
3184,198.0439,superior-izquierda,No,0,full,No,,,,,Sí
3185,198.0573,superior-izquierda,No,0,full,No,,,,,Sí
3186,198.071,superior-izquierda,No,0,full,No,,,,,Sí
3187,198.0833,superior-izquierda,No,0,full,No,,,,,No
3188,198.0957,superior-izquierda,No,0,full,No,,,,,No
3189,198.1091,superior-izquierda,No,0,full,No,,,,,No
3190,198.1218,superior-izquierda,No,0,full,No,,,,,No
3191,198.1353,superior-izquierda,No,31,full,No,,,,,No
3192,198.1481,superior-izquierda,Sí,62.3,full,Sí,inferior-izquierda,0.4092,1,raycast,No
3193,198.161,superior-izquierda,Sí,93.6,full,Sí,inferior-izquierda,0.3717,1,raycast,No
3194,198.1762,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0.3494,1,raycast,No
3195,198.1899,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0.3242,1,raycast,No
3196,198.2048,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0.2718,1,raycast,No
3197,198.2181,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0.227,1,raycast,No
3198,198.234,superior-izquierda,Sí,90,full,Sí,inferior-izquierda,0.1592,1,raycast,No
3199,198.2467,superior-izquierda,Sí,80,full,Sí,inferior-izquierda,0.1484,1,raycast,No
3200,198.2603,superior-izquierda,Sí,70,full,Sí,inferior-izquierda,0.1259,1,raycast,No
3201,198.2748,superior-izquierda,Sí,60,full,Sí,inferior-izquierda,0.1106,1,raycast,No
3202,198.2877,superior-izquierda,Sí,50,full,Sí,inferior-izquierda,0.1109,1,raycast,No
3203,198.3017,superior-izquierda,Sí,40,full,Sí,inferior-izquierda,0.0932,1,raycast,No
3204,198.3164,superior-izquierda,Sí,30,full,Sí,inferior-izquierda,0.085,1,raycast,No
3205,198.3297,superior-izquierda,Sí,20,full,Sí,inferior-izquierda,0.0554,1,raycast,No
3206,198.3447,superior-izquierda,No,10,full,No,,,,,No
3207,198.3575,superior-izquierda,No,0,full,No,,,,,No
3208,198.3704,superior-izquierda,No,0,full,No,,,,,No
3209,198.383,superior-izquierda,No,0,full,No,,,,,No
3210,198.3952,superior-izquierda,No,0,full,No,,,,,No
3211,198.4076,superior-izquierda,No,35.4,full,No,,,,,No
3212,198.4191,superior-izquierda,Sí,70.7,full,Sí,inferior-izquierda,0,0.6007,raycast,No
3213,198.4325,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0,0.4706,raycast,No
3214,198.4451,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0,0.4017,raycast,No
3215,198.4982,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0,0.279,raycast,No
3216,198.5476,superior-izquierda,Sí,100,full,Sí,inferior-izquierda,0,0.199,raycast,No
3217,198.5974,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.1183,raycast,No
3218,198.648,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.067,raycast,No
3219,198.6984,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.0147,raycast,No
3220,198.7485,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.0217,0,raycast,No
3221,198.7985,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.0437,0,raycast,No
3222,198.8478,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0553,0,raycast,No
3223,198.8981,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0674,0,raycast,No
3224,198.9479,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0788,0,raycast,No
3225,198.9981,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0847,0,raycast,No
3226,199.0476,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0918,0,raycast,No
3227,199.098,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0962,0,raycast,No
3228,199.148,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0995,0,raycast,No
3229,199.1987,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1025,0,raycast,No
3230,199.2483,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1047,0,raycast,No
3231,199.2984,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1049,0,raycast,No
3232,199.3484,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1041,0,raycast,No
3233,199.3976,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.105,0,raycast,No
3234,199.448,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1065,0,raycast,No
3235,199.4983,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1092,0,raycast,No
3236,199.548,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1088,0,raycast,No
3237,199.5977,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1103,0,raycast,No
3238,199.6481,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1108,0,raycast,No
3239,199.699,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1134,0,raycast,No
3240,199.7477,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1149,0,raycast,No
3241,199.7977,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1189,0,raycast,No
3242,199.8475,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1193,0,raycast,No
3243,199.8987,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1204,0,raycast,No
3244,199.948,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1203,0,raycast,No
3245,199.9975,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1216,0,raycast,No
3246,200.048,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1255,0,raycast,No
3247,200.1312,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1249,0,raycast,No
3248,200.2144,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1254,0,raycast,No
3249,200.2984,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.125,0,raycast,No
3250,200.3818,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1247,0,raycast,No
3251,200.4644,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1269,0,raycast,No
3252,200.5485,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1284,0,raycast,No
3253,200.6235,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1297,0,raycast,No
3254,200.7066,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1306,0,raycast,No
3255,200.792,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1315,0,raycast,No
3256,200.8734,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1294,0,raycast,No
3257,200.9564,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1301,0,raycast,No
3258,201.0323,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1305,0,raycast,No
3259,201.1155,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1314,0,raycast,No
3260,201.19,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1299,0,raycast,No
3261,201.2745,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.129,0,raycast,No
3262,201.3572,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.126,0,raycast,No
3263,201.441,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1284,0,raycast,No
3264,201.5236,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1296,0,raycast,No
3265,201.6076,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1283,0,raycast,No
3266,201.6904,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1281,0,raycast,No
3267,201.7736,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1303,0,raycast,No
3268,201.8569,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.131,0,raycast,No
3269,201.9409,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1292,0,raycast,No
3270,202.0235,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1262,0,raycast,No
3271,202.1071,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1238,0,raycast,No
3272,202.1904,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1239,0,raycast,No
3273,202.2735,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1243,0,raycast,No
3274,202.3576,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1252,0,raycast,No
3275,202.44,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1262,0,raycast,No
3276,202.5224,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1266,0,raycast,No
3277,202.6067,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1236,0,raycast,No
3278,202.6893,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.122,0,raycast,No
3279,202.7736,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1201,0,raycast,No
3280,202.8559,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1169,0,raycast,No
3281,202.9319,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1143,0,raycast,No
3282,203.015,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1148,0,raycast,No
3283,203.0991,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1135,0,raycast,No
3284,203.1812,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1157,0,raycast,No
3285,203.256,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1137,0,raycast,No
3286,203.3403,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1136,0,raycast,No
3287,203.4223,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1114,0,raycast,No
3288,203.499,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1115,0,raycast,No
3289,203.5811,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1091,0,raycast,No
3290,203.6651,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1065,0,raycast,No
3291,203.7477,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1016,0,raycast,No
3292,203.832,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0978,0,raycast,No
3293,203.9143,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0953,0,raycast,No
3294,203.9984,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0942,0,raycast,No
3295,204.081,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0921,0,raycast,No
3296,204.1566,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0924,0,raycast,No
3297,204.2064,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0925,0,raycast,No
3298,204.2558,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0926,0,raycast,No
3299,204.3065,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0993,0,raycast,No
3300,204.3564,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.101,0,raycast,No
3301,204.4061,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1018,0,raycast,No
3302,204.4556,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1058,0,raycast,No
3303,204.5062,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1151,0,raycast,No
3304,204.5558,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1199,0,raycast,No
3305,204.6064,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1246,0,raycast,No
3306,204.6562,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1278,0,raycast,No
3307,204.7065,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.12,0,raycast,No
3308,204.756,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1108,0,raycast,No
3309,204.7977,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1097,0,raycast,No
3310,204.8484,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1057,0,raycast,No
3311,204.8979,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0998,0,raycast,No
3312,204.9483,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0968,0,raycast,No
3313,204.998,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0908,0,raycast,No
3314,205.039,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0903,0,raycast,No
