Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
126,11.8802,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1702,raycast,No
127,11.8979,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1716,raycast,No
128,11.9161,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1716,raycast,No
129,11.9394,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1726,raycast,No
130,11.9628,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1731,raycast,No
131,11.9848,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1734,raycast,No
132,12.0068,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1738,raycast,No
133,12.0297,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1726,raycast,No
134,12.0483,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1731,raycast,No
135,12.0676,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1729,raycast,No
136,12.0848,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1727,raycast,No
137,12.1053,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1721,raycast,No
138,12.1238,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1717,raycast,No
139,12.1414,superior-izquierda,Sí,100,full,No,superior-izquierda,0,0.1719,raycast,No
140,12.1591,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1721,raycast,No
141,12.1784,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1722,raycast,No
142,12.1978,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.172,raycast,No
143,12.2155,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1721,raycast,No
144,12.2339,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1735,raycast,No
145,12.2542,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1738,raycast,No
146,12.2725,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.174,raycast,No
147,12.2913,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.174,raycast,No
148,12.3095,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1734,raycast,No
149,12.3274,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1724,raycast,No
150,12.3458,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.1722,raycast,No
