Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
2541,45.6585,superior-izquierda,Sí,100,full,Sí,superior-centro,0.435,0.3067,fingertip,Sí
2542,45.6781,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4347,0.307,fingertip,Sí
2543,45.6976,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4327,0.3089,fingertip,Sí
2544,45.7181,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4326,0.3085,fingertip,Sí
2545,45.7358,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4309,0.3125,fingertip,Sí
2546,45.7531,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4283,0.3169,fingertip,Sí
2547,45.7706,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4283,0.3164,fingertip,Sí
2548,45.7878,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4263,0.3201,fingertip,Sí
2549,45.8051,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4264,0.3205,fingertip,Sí
2550,45.8223,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4248,0.3234,fingertip,Sí
2551,45.8397,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4252,0.3233,fingertip,Sí
2552,45.857,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4239,0.3255,fingertip,Sí
2553,45.8745,superior-izquierda,Sí,100,full,Sí,superior-centro,0.424,0.3257,fingertip,Sí
2554,45.8912,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4232,0.3268,fingertip,Sí
2555,45.9094,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4231,0.3269,fingertip,Sí
2556,45.9271,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4222,0.328,fingertip,Sí
2557,45.9458,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4222,0.328,fingertip,Sí
2558,45.9634,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4211,0.3299,fingertip,Sí
2559,45.9844,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4202,0.3312,fingertip,Sí
2560,46.0061,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4203,0.3312,fingertip,Sí
2561,46.0279,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4197,0.3315,fingertip,Sí
2562,46.0506,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4193,0.3324,fingertip,Sí
2563,46.0727,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4196,0.3327,fingertip,Sí
2564,46.0951,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4192,0.3331,fingertip,Sí
2565,46.1178,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4189,0.334,fingertip,Sí
2566,46.1406,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1623,0,raycast,Sí
2567,46.16,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1695,0,raycast,Sí
2568,46.1795,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1758,0,raycast,Sí
2569,46.1982,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4194,0.3345,fingertip,Sí
2570,46.2159,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4192,0.3344,fingertip,Sí
2571,46.2375,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4188,0.334,fingertip,Sí
2572,46.2567,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4194,0.335,fingertip,Sí
2573,46.2755,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4191,0.3351,fingertip,Sí
2574,46.295,superior-izquierda,Sí,100,full,Sí,superior-centro,0.419,0.3346,fingertip,Sí
2575,46.3135,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4191,0.3346,fingertip,Sí
2576,46.3349,superior-izquierda,Sí,100,full,Sí,superior-centro,0.4194,0.3344,fingertip,Sí
