Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
3542,123.2713,superior-izquierda,No,0,full,No,,,,,No
3543,123.2884,superior-izquierda,No,0,full,No,,,,,No
3544,123.3087,superior-izquierda,No,30.6,full,No,,,,,No
3545,123.3268,superior-izquierda,Sí,62,full,Sí,superior-centro,0.4008,1,raycast,No
3546,123.3429,superior-izquierda,Sí,93.4,full,Sí,superior-centro,0.4688,1,raycast,No
3547,123.3614,superior-izquierda,Sí,100,full,Sí,superior-centro,0.439,1,raycast,No
3548,123.3786,superior-izquierda,Sí,100,full,Sí,superior-centro,0.5204,1,raycast,No
3549,123.3982,superior-izquierda,Sí,100,full,Sí,superior-centro,0.555,1,raycast,No
3550,123.4165,superior-izquierda,Sí,90,full,Sí,superior-centro,0.6544,1,raycast,No
3551,123.4329,superior-izquierda,Sí,100,full,Sí,superior-centro,0.7898,1,raycast,No
3552,123.4504,superior-izquierda,Sí,90,full,Sí,superior-centro,0.8912,1,raycast,No
3553,123.4676,superior-izquierda,Sí,80,full,Sí,superior-centro,0.9037,1,raycast,No
3554,123.4853,superior-izquierda,Sí,70,full,Sí,superior-centro,0.9929,1,raycast,No
3555,123.498,superior-izquierda,Sí,60,full,Sí,superior-centro,1,0.999,raycast,No
3556,123.5167,superior-izquierda,Sí,95.5,full,Sí,superior-centro,1,0.6727,raycast,No
3557,123.5355,superior-izquierda,Sí,85.5,full,Sí,inferior-derecha,1,0.6765,raycast,No
3558,123.5589,superior-izquierda,Sí,100,full,Sí,inferior-derecha,1,0.4139,raycast,No
3559,123.5762,superior-izquierda,Sí,100,full,Sí,inferior-derecha,1,0.1871,raycast,No
3560,123.5952,superior-izquierda,Sí,100,full,Sí,inferior-derecha,1,0.0376,raycast,No
3561,123.6117,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.7375,0,raycast,No
3562,123.629,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.5854,0,raycast,No
3563,123.6427,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.4583,0,raycast,No
3564,123.6551,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.3859,0,raycast,No
3565,123.6683,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.3453,0,raycast,No
3566,123.6801,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.3022,0,raycast,No
3567,123.6927,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.2717,0,raycast,No
3568,123.7053,superior-izquierda,Sí,100,full,Sí,superior-centro,0.2366,0,raycast,No
3569,123.7177,superior-izquierda,Sí,100,full,Sí,superior-centro,0.2203,0,raycast,No
3570,123.73,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1997,0,raycast,No
3571,123.743,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1857,0,raycast,No
3572,123.7561,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1847,0,raycast,No
3573,123.772,superior-izquierda,Sí,100,full,Sí,superior-centro,0.1659,0,raycast,No
3574,123.7902,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1585,0,raycast,No
3575,123.8073,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1486,0,raycast,No
3576,123.8284,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1472,0,raycast,No
3577,123.8471,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3774,raycast,No
3578,123.8608,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3636,raycast,No
3579,123.8736,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3588,raycast,No
3580,123.8873,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3614,raycast,No
3581,123.9009,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3608,raycast,No
3582,123.9156,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3595,raycast,No
3583,123.931,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3658,raycast,No
3584,123.9479,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.364,raycast,No
3585,123.9656,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3663,raycast,No
3586,123.9776,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3724,raycast,No
3587,123.9914,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.3766,raycast,No
3588,124.004,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.379,raycast,No
3589,124.017,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3812,raycast,No
3590,124.0297,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3769,raycast,No
3591,124.0427,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3797,raycast,No
3592,124.0554,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3821,raycast,No
3593,124.0675,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3832,raycast,No
3594,124.0817,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3838,raycast,No
3595,124.0948,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3841,raycast,No
3596,124.1093,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.3839,raycast,No
3597,124.1225,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0,0.385,raycast,No
3598,124.1372,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.1731,0,raycast,No
3599,124.1518,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.174,0,raycast,No
3600,124.1654,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.1749,0,raycast,No
3601,124.1793,superior-izquierda,Sí,100,full,Sí,medio-izquierda,0.1757,0,raycast,No
3602,124.193,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1772,0,raycast,No
3603,124.2059,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1785,0,raycast,No
3604,124.2203,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1796,0,raycast,No
3605,124.2328,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1798,0,raycast,No
3606,124.2451,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1813,0,raycast,No
3607,124.2581,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1824,0,raycast,No
3608,124.2715,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1834,0,raycast,No
3609,124.2849,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1861,0,raycast,No
3610,124.2965,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1891,0,raycast,No
3611,124.3095,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1947,0,raycast,No
3612,124.3222,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1977,0,raycast,No
3613,124.3343,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2006,0,raycast,No
3614,124.3468,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.203,0,raycast,No
3615,124.3589,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2048,0,raycast,No
3616,124.3706,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2073,0,raycast,No
3617,124.3831,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2109,0,raycast,No
3618,124.3973,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.2125,0,raycast,No
