Frame,Tiempo(s),GT_Region,Gesto,Confianza(%),Modo,Confirmado,Region,X_norm,Y_norm,Modo_grounding,Hands_fiable
216,16.9133,superior-izquierda,Sí,100,full,Sí,inferior-derecha,1,0.1326,raycast,No
217,16.9303,superior-izquierda,Sí,100,full,Sí,inferior-derecha,1,0.0382,raycast,No
218,16.9511,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.8103,0,raycast,No
219,16.968,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.681,0,raycast,No
220,16.9879,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.5395,0,raycast,No
221,17.0049,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.4776,0,raycast,No
222,17.023,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.3672,0,raycast,No
223,17.0407,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0.341,0,raycast,No
224,17.0594,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0,0.2921,raycast,No
225,17.0784,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0,0.2859,raycast,No
226,17.0959,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0,0.2802,raycast,No
227,17.1143,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0,0.2729,raycast,No
228,17.1328,superior-izquierda,Sí,100,full,Sí,inferior-derecha,0,0.2738,raycast,No
229,17.1512,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2663,raycast,No
230,17.1675,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2657,raycast,No
231,17.1856,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2585,raycast,No
232,17.2022,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2609,raycast,No
233,17.2206,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2579,raycast,No
234,17.2395,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2593,raycast,No
235,17.2576,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.2683,raycast,No
236,17.2746,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0,0.275,raycast,No
237,17.2929,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1677,0,raycast,No
238,17.3096,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1679,0,raycast,No
239,17.3263,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1715,0,raycast,No
240,17.3438,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1723,0,raycast,No
241,17.3605,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1778,0,raycast,No
242,17.3787,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1762,0,raycast,No
243,17.3999,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.179,0,raycast,No
244,17.419,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1801,0,raycast,No
245,17.4354,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1848,0,raycast,No
246,17.454,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.1843,0,raycast,No
247,17.4726,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0777,0.1745,fingertip,Sí
248,17.4911,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0784,0.1699,fingertip,Sí
249,17.508,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0781,0.1694,fingertip,Sí
250,17.5259,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0782,0.1702,fingertip,Sí
251,17.5465,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0786,0.1689,fingertip,Sí
252,17.5642,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0789,0.1693,fingertip,Sí
253,17.5831,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0799,0.1688,fingertip,Sí
254,17.6001,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0804,0.1709,fingertip,Sí
255,17.6187,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0794,0.167,fingertip,Sí
256,17.6369,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0789,0.1665,fingertip,Sí
257,17.6558,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0792,0.168,fingertip,Sí
258,17.6737,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0789,0.1705,fingertip,Sí
259,17.6915,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0802,0.1744,fingertip,Sí
260,17.7097,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1731,fingertip,Sí
261,17.7266,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.08,0.1745,fingertip,Sí
262,17.7458,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0804,0.1733,fingertip,Sí
263,17.7633,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0798,0.1739,fingertip,Sí
264,17.7823,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0797,0.168,fingertip,Sí
265,17.8013,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0802,0.169,fingertip,Sí
266,17.8195,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0809,0.1678,fingertip,Sí
267,17.8368,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0807,0.1703,fingertip,Sí
268,17.856,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0802,0.1703,fingertip,Sí
269,17.8735,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0809,0.1718,fingertip,Sí
270,17.8916,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0814,0.1733,fingertip,Sí
271,17.9095,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.172,fingertip,Sí
272,17.9264,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0809,0.1714,fingertip,Sí
273,17.9461,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.1717,fingertip,Sí
274,17.9637,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.1717,fingertip,Sí
275,17.9835,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0813,0.1719,fingertip,Sí
276,18.0008,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0814,0.1725,fingertip,Sí
277,18.0186,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.1721,fingertip,Sí
278,18.0367,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0813,0.1721,fingertip,Sí
279,18.0559,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0814,0.1718,fingertip,Sí
280,18.0742,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0813,0.1729,fingertip,Sí
281,18.0936,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0809,0.1733,fingertip,Sí
282,18.112,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0808,0.1729,fingertip,Sí
283,18.1304,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.1731,fingertip,Sí
284,18.1492,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0811,0.1729,fingertip,Sí
285,18.1668,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1732,fingertip,Sí
286,18.1856,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1735,fingertip,Sí
287,18.2036,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0805,0.173,fingertip,Sí
288,18.2222,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1742,fingertip,Sí
289,18.2409,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0805,0.1741,fingertip,Sí
290,18.2583,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0804,0.174,fingertip,Sí
291,18.2772,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0803,0.1741,fingertip,Sí
292,18.2954,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1745,fingertip,Sí
293,18.3133,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.081,0.1743,fingertip,Sí
294,18.3316,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.1736,fingertip,Sí
295,18.3495,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0806,0.175,fingertip,Sí
296,18.3677,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0807,0.1747,fingertip,Sí
297,18.3853,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0812,0.1762,fingertip,Sí
298,18.4036,superior-izquierda,Sí,100,full,Sí,superior-izquierda,0.0814,0.1739,fingertip,Sí
