Imagen,Apuntando_Real,Detectado,Correcto,Dirección_Correcta,Modo,Confianza(%),Extensión(°),Razón,Brazo,Heurística,Distancia,Movimiento,Oclusión
"Screenshot_2026-05-27_16-16-00.png",1,1,1,1,full,90.7,45.4,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-08.png",1,1,1,1,full,98.3,8.6,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-16.png",1,1,1,1,full,95.4,18.4,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-25.png",1,1,1,1,full,94.5,26.9,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-44.png",1,1,1,1,full,98.0,9.8,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-51.png",1,1,1,0,full,96.1,19.1,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-16-57.png",1,1,1,0,full,93.2,33.8,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-17-05.png",1,1,1,1,full,99.2,1.2,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-17-14.png",0,0,1,,full,10.0,177.2,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-17-18.png",1,1,1,1,full,99.3,3.1,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-21.png",0,0,1,,full,10.0,14.8,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-24.png",0,0,1,,full,10.0,19.6,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-27.png",0,0,1,,full,10.0,27.7,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-38.png",0,0,1,,full,10.0,94.0,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-39.png",0,0,1,,full,10.0,27.4,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-42.png",0,0,1,,full,10.0,159.5,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-46.png",0,1,0,,full,57.2,155.7,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-53.png",0,0,1,,full,10.0,83.6,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-56.png",0,1,0,,full,60.7,144.3,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_16-20-58.png",0,0,1,,full,10.0,138.2,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-50-51.png",1,1,1,1,full,91.9,37.4,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-50-53.png",1,1,1,1,full,91.2,41.1,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-50-59.png",1,1,1,1,full,88.4,45.3,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-08.png",1,0,0,,full,10.0,88.4,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-13.png",1,0,0,,full,10.0,100.1,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-15.png",1,0,0,,full,10.0,111.4,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-16.png",1,0,0,,full,10.0,29.9,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-20.png",0,0,1,,full,10.0,8.8,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-24.png",1,0,0,,full,10.0,1.9,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-25.png",1,0,0,,full,10.0,76.0,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-28.png",1,0,0,,full,10.0,134.8,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-30.png",1,1,1,1,full,96.6,9.4,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-32.png",1,1,1,1,full,95.0,4.4,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-34.png",0,0,1,,full,10.0,8.5,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-51-38.png",1,1,1,1,full,79.9,31.3,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-34.png",0,0,1,,full,10.0,5.0,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-36.png",1,1,1,1,full,81.9,43.9,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-39.png",0,0,1,,full,10.0,17.2,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-42.png",0,0,1,,full,10.0,16.9,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-48.png",0,0,1,,full,10.0,15.8,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-50.png",1,1,1,1,full,85.0,7.5,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-52-59.png",1,1,1,1,full,50.9,102.4,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-01.png",0,0,1,,full,10.0,167.8,"brazo_colgante",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-04.png",1,1,1,1,full,68.2,164.3,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-05.png",1,1,1,1,full,94.7,26.0,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-07.png",0,0,1,,full,10.0,134.0,"muneca_muy_cerca",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-27.png",1,1,1,1,full,88.6,47.3,"ok",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-05-27_18-53-37.png",0,0,1,,full,10.0,23.0,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
"Screenshot_2026-06-03_18-27-34.png",1,1,1,1,full,83.7,68.3,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-06-03_18-27-59.png",1,1,1,1,full,65.0,76.8,"ok",Left,"etapa6",1.5,lento,ninguna
"Screenshot_2026-06-03_18-28-56.png",0,0,1,,full,10.0,18.0,"brazo_colgante",Right,"etapa6",1.5,lento,ninguna
