Imagen,Apuntando_Real,Detectado,Correcto,Dirección_Correcta,Modo,Confianza(%),Extensión(°),Razón,Brazo,Heurística,Distancia,Movimiento,Oclusión
Screenshot_2026-05-27_16-16-00.png,1,0,0,,full,0.0,45.4,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-08.png,1,1,1,1.0,full,100.0,8.6,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-16.png,1,1,1,0.0,full,99.0,18.4,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-25.png,1,1,1,1.0,full,99.8,26.9,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-44.png,1,1,1,0.0,full,99.9,9.8,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-51.png,1,1,1,0.0,full,99.9,19.1,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-16-57.png,1,0,0,,full,0.0,33.8,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-17-05.png,1,1,1,1.0,full,99.4,1.2,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-17-14.png,0,0,0,,full,0.0,177.2,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-17-18.png,1,1,1,1.0,full,99.9,3.1,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-21.png,0,1,0,,full,99.7,14.8,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-24.png,0,1,0,,full,99.8,19.6,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-27.png,0,1,0,,full,100.0,27.7,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-38.png,0,0,1,,full,0.0,94.0,extension_insuficiente,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-39.png,0,1,0,,full,100.0,27.4,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-42.png,0,0,1,,full,0.0,159.5,extension_insuficiente,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-46.png,0,0,1,,full,0.0,155.7,extension_insuficiente,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-53.png,0,0,1,,full,0.0,83.6,extension_insuficiente,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-56.png,0,0,1,,full,0.0,144.3,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_16-20-58.png,0,0,1,,full,0.0,138.2,extension_insuficiente,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-50-51.png,1,0,0,,full,0.0,37.4,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-50-53.png,1,0,0,,full,0.0,41.1,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-50-59.png,1,0,0,,full,0.0,45.3,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-08.png,1,0,0,,full,0.0,88.4,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-13.png,1,0,0,,full,0.0,100.1,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-15.png,1,1,1,0.0,full,97.0,8.3,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-16.png,1,1,1,0.0,full,98.8,29.9,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-20.png,0,1,1,0.0,full,96.1,8.8,ok,Left,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-25.png,1,0,0,,full,0.0,76.0,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-28.png,1,0,0,,full,0.0,134.8,extension_insuficiente,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-30.png,1,1,1,1.0,full,98.5,9.4,ok,Right,etapa2,2.5,lento,ninguna
Screenshot_2026-05-27_18-51-32.png,1,1,1,1.0,full,95.9,4.4,ok,Right,etapa2,2.5,lento,ninguna
